zone,electrodes,h2,lag,nwd,wd
pz_niz,C11-C12--C35-C36,"[0.24926172537027136, 0.30910612251689407, 0.4670951687324906, 0.19686324153272805, 0.45249891242070844, 0.3158895688099236, 0.18390007575742473, 0.06763571502275179, 0.531352196806153, 0.2823121139009838, 0.42946487459837746]","[98.0, 98.0, 97.0, 98.0, 98.0, 97.0, 92.0, 97.0, -98.0, -98.0, -98.0]",-0.6363636363636364,-0.5915641642485184
pz_niz,C11-C12--C37-C38,"[0.15773079643470667, 0.2406726151463041, 0.30216514994888244, 0.23691480517582722, 0.10116566470125839, 0.20319757657240245, 0.4484426137194447, 0.21871839423649925, 0.11665274579733502, 0.16523776821667244, 0.2574386188949262]","[4.0, 82.0, -97.0, -98.0, -98.0, -98.0, -94.0, 98.0, 94.0, -97.0, -98.0]",0.2727272727272727,0.4005934420898396
pz_niz,C11-C12--C101-C102,"[0.37991845761355947, 0.3684290386781278, 0.6372331096958809, 0.27029762431258514, 0.3428555981256785, 0.3231224321111352, 0.19841745540793224, 0.08947943270966355, 0.10888932825682018, 0.22726855281786265, 0.3875659425016971]","[-98.0, -98.0, 77.0, -27.0, 94.0, 96.0, 73.0, -91.0, -92.0, 98.0, 26.0]",-0.09090909090909091,-0.2698231355975052
pz_niz,C11-C12--C113-C114,"[0.6353724618374187, 0.8384585584427342, 0.5615396082343725, 0.1565924670943102, 0.31993907709237956, 0.142776673282209, 0.20434536911222625, 0.011535396243488736, 0.15818217020930708, 0.08219313323927746, 0.2136391338874854]","[-98.0, 98.0, 98.0, 98.0, 98.0, 2.0, -22.0, -96.0, -96.0, 16.0, -72.0]",-0.09090909090909091,-0.14204911244882962
pz_niz,C74-C75--C33-C34,"[0.04510041361430418, 0.07433317573359909, 0.15447896707021222, 0.059547413851768295, 0.09131795084349602, 0.09152653299436377, 0.1510065444977219, 0.2215783371452343, 0.09983346201029752, 0.08662471409268473, 0.057393230488785]","[98.0, 98.0, 53.0, 52.0, -97.0, 98.0, 52.0, -98.0, 98.0, 31.0, 94.0]",0.2727272727272727,0.4228821897173226
pz_niz,C74-C75--C35-C36,"[0.028284588962811767, 0.030743615629579404, 0.08210901789333591, 0.039002551339252345, 0.06826639867620607, 0.14133027211261892, 0.17126519596642714, 0.33790205394555234, 0.0989765710054843, 0.24940210757743042, 0.40194850380174646]","[53.0, -5.0, -5.0, 86.0, 74.0, 88.0, 50.0, 41.0, 29.0, 43.0, -51.0]",0.6363636363636364,0.42977674131493276
pz_niz,C74-C75--C37-C38,"[0.04304903509086638, 0.11877986206695558, 0.08902694927566228, 0.1503994239096571, 0.06682166927775589, 0.06440255361298462, 0.04692056136783767, 0.022999516739537013, 0.14339687264692363, 0.17222808359498654, 0.09265433156805805]","[-54.0, 98.0, -39.0, 13.0, -47.0, -67.0, -26.0, -48.0, 75.0, 25.0, 97.0]",-0.09090909090909091,0.08545590778002492
pz_niz,C74-C75--C101-C102,"[0.27680607326412393, 0.1543664662050857, 0.48171923924479637, 0.1717322570264977, 0.16428425265892888, 0.2111009647311562, 0.1000901492178886, 0.16085875100936553, 0.1624256850953729, 0.1584251174378809, 0.09558280263908973]","[-98.0, 86.0, -35.0, 49.0, 54.0, 33.0, -9.0, 7.0, 9.0, 38.0, 74.0]",-0.6363636363636364,-0.762319734729731
pz_niz,C74-C75--C113-C114,"[0.07340878722864662, 0.10308701972813379, 0.5684192673778996, 0.31397715154308925, 0.10806601624473555, 0.04484541326804105, 0.01036508197903696, 0.051424399546914454, 0.13460365746859354, 0.04291379788586724, 0.07204020412439095]","[-98.0, 92.0, -4.0, 19.0, 93.0, 17.0, 40.0, -44.0, 2.0, 21.0, 78.0]",-0.45454545454545453,-0.05074311963882002
pz_niz,C80-C81--C33-C34,"[0.04304903509086638, 0.11877986206695558, 0.08902694927566228, 0.1503994239096571, 0.06682166927775589, 0.06440255361298462, 0.04692056136783767, 0.022999516739537013, 0.14339687264692363, 0.17222808359498654, 0.09265433156805805]","[-54.0, 98.0, -39.0, 13.0, -47.0, -67.0, -26.0, -48.0, 75.0, 25.0, 97.0]",-0.09090909090909091,0.08545590778002492
pz_niz,C80-C81--C35-C36,"[0.2601064240427767, 0.13585230824346192, 0.144915322065622, 0.05662737515560926, 0.040005273579533915, 0.04562251832825599, 0.04829978188280977, 0.006882946736223894, 0.07775073057664832, 0.04177182338654686, 0.04963564923209072]","[-98.0, 98.0, 97.0, 98.0, -89.0, 97.0, 98.0, 87.0, 67.0, 73.0, -97.0]",-0.2727272727272727,-0.359945639026433
pz_niz,C80-C81--C37-C38,"[0.21858264911365424, 0.06400632370920216, 0.21188209802521585, 0.08656904835536772, 0.10210532537917526, 0.10207075896761371, 0.25139512375624357, 0.7188830609521614, 0.19819384269282292, 0.1170705748676774, 0.3383114971790706]","[79.0, 24.0, 70.0, 10.0, -92.0, 11.0, 78.0, -27.0, 87.0, 86.0, 36.0]",-0.45454545454545453,-0.45846418863605254
pz_niz,C80-C81--C101-C102,"[0.38120676610740917, 0.07743558732969401, 0.3124179204071785, 0.06801605466056793, 0.04806791576073122, 0.12330932163600788, 0.07804497874421727, 0.14856024590008945, 0.031035204088168115, 0.22272803116909226, 0.32451945450901837]","[97.0, -88.0, 54.0, -91.0, -88.0, 35.0, 58.0, -43.0, -43.0, -24.0, 70.0]",-0.09090909090909091,-0.0009157189039467076
pz_niz,C80-C81--C113-C114,"[0.23914807593188028, 0.03177491165588501, 0.3316941560462785, 0.03534871172941945, 0.09173963110485461, 0.08776333261518844, 0.16564208482739937, 0.0955761791322843, 0.05178192343696391, 0.02823504696963755, 0.24796493230665737]","[23.0, 93.0, -41.0, 84.0, -74.0, -90.0, 20.0, 43.0, -83.0, 97.0, -95.0]",0.2727272727272727,0.5381969376625226
